pays;libelleVille;codePostal;codeInsee
01;Attignat;1340;1024
01;Beaupont;1270;1029
01;Bény;1370;1038
01;Béreyziat;1340;1040
01;Bohas-Meyriat-Rignat;1250;1245
01;Bourg-en-Bresse;1000;1053
01;Buellas;1310;1065
01;Certines;1240;1069
01;Ceyzériat;1250;1072
01;Chavannes-sur-Suran;1250;1095
01;Cize;1250;1106
01;Coligny;1270;1108
01;Confrançon;1310;1115
01;Cormoz;1560;1124
01;Corveissiat;1250;1125
01;Courmangoux;1370;1127
01;Courtes;1560;1128
01;Cras-sur-Reyssouze;1340;1130
01;Curciat-Dongalon;1560;1139
01;Curtafond;1310;1140
01;Dompierre-sur-Veyle;1240;1145
01;Domsure;1270;1147
01;Drom;1250;1150
01;Druillat;1160;1151
01;Etrez;1340;1154
01;Foissiat;1340;1163
01;Germagnat;1250;1172
01;Grand-Corent;1250;1177
01;Hautecourt-Romanèche;1250;1184
01;Jasseron;1250;1195
01;Jayat;1340;1196
01;Journans;1250;1197
01;La Tranclière;1160;1425
01;Lent;1240;1211
01;Lescheroux;1560;1212
01;Malafretaz;1340;1229
01;Mantenay-Montlin;1560;1230
01;Marboz;1851;1232
01;Marsonnas;1340;1236
01;Meillonnas;1370;1241
01;Montagnat;1250;1254
01;Montcet;1310;1259
01;Montracol;1310;1264
01;Montrevel-en-Bresse;1340;1266
01;Neuville-sur-Ain;1160;1273
01;Péronnas;1960;1289
01;Pirajoux;1270;1296
01;Polliat;1310;1301
01;Pont-d'Ain;1160;1304
01;Pouillat;1250;1309
01;Pressiat;1370;1312
01;Priay;1160;1314
01;Ramasse;1250;1317
01;Revonnas;1250;1321
01;Saint-André-sur-Vieux-Jonc;1240;1336
01;Saint-Denis-lès-Bourg;1000;1344
01;Saint-Didier-d'Aussiat;1340;1346
01;Saint-Etienne-du-Bois;1370;1350
01;Saint-Jean-sur-Reyssouze;1560;1364
01;Saint-Julien-sur-Reyssouze;1560;1367
01;Saint-Just;1250;1369
01;Saint-Martin-du-Mont;1160;1374
01;Saint-Martin-le-Châtel;1310;1375
01;Saint-Nizier-le-Bouchoux;1560;1380
01;Saint-Rémy;1310;1385
01;Saint-Sulpice;1340;1387
01;Saint-Trivier-de-Courtes;1560;1388
